seed_id,external_product_id,source_listing_ref,market,domain,brand,title,canonical_url,destination_url,attached_product_key,content_key,seed_missing_fields,identity_exists,identity_status,identity_live_read_enabled,identity_review_required,identity_source_tier,sellable_item_group_id,product_line_id,review_family_id,kb_exists,kb_last_success_at,kb_last_error,kb_direct_status,kb_direct_displayable,kb_direct_high_quality_ready,kb_direct_human_reviewed,kb_direct_quality_state,kb_direct_evidence_profile,kb_direct_issues,kb_direct_blocking_issues,kb_effective_product_id,kb_effective_high_quality_ready,kb_borrowed_from_sibling,active_ingredients_status,active_ingredients_issues,variant_status,variant_issues,catalog_attached,catalog_offer_count,index_pipeline_state_exists,index_serving_eligible,db_serving_ready,external_index_published,commerce_doc_public,commerce_doc_id,commerce_doc_has_pivota_insight_summary,commerce_doc_pivota_insight_status,commerce_doc_price_min,commerce_doc_price_max,commerce_doc_external_offer_exists,terminal_hold,terminal_hold_reason,main_blocker,blocker_detail,recommended_lane,next_command
eps_f4235285f6517cbd8a21202c,ext_2fc7cc1ac3370464b4b923d3,external_seed:ext_2fc7cc1ac3370464b4b923d3,US,786cosmetics.com,786 Cosmetics,Bahrain - Breathable Nail Polish,https://786cosmetics.com/products/bahrain-breathable-nail-polish,https://786cosmetics.com/products/bahrain-breathable-nail-polish,prod::external_seed::external_seed::ext_2fc7cc1ac3370464b4b923d3,ck_b8d7e7bca9ad1d296ebbc1938ad4c544,,true,approved,true,false,brand,sig_f09b74bb65313b362fb669d6,pl_fba5e27a12cc762831b66240,rf_fba5e27a12cc762831b66240,true,"""2026-05-26T00:46:07.720Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_2fc7cc1ac3370464b4b923d3,true,false,not_expected_missing,,no_visible_variant_axis,,true,2,true,false,false,false,false,,false,,,,false,false,,index_doc_shadow_only,missing_public_catalog_serving_doc,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_c69c4b71c68c6374ce744af3,ext_69dcb156e335cb9756e016b2,external_seed:ext_69dcb156e335cb9756e016b2,US,786cosmetics.com,786 Cosmetics,Kashmir - Breathable Nail Polish,https://786cosmetics.com/products/kashmir-breathable-nail-polish,https://786cosmetics.com/products/kashmir-breathable-nail-polish,prod::external_seed::external_seed::ext_69dcb156e335cb9756e016b2,ck_9863de8de56e22a8aeb1ee80b9c2351a,,true,approved,true,false,brand,sig_64564840b38cef0f27045593,pl_b95bcdad5b83bae208e72b26,rf_b95bcdad5b83bae208e72b26,true,"""2026-05-26T00:46:07.720Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_69dcb156e335cb9756e016b2,true,false,not_expected_missing,,no_visible_variant_axis,,true,2,true,false,false,false,false,,false,,,,false,false,,index_doc_shadow_only,missing_public_catalog_serving_doc,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_2877c8f1b1f9ef8f2ee954cc,ext_151aebc5b6246b8d2d9a877b,external_seed:ext_151aebc5b6246b8d2d9a877b,US,786cosmetics.com,786 Cosmetics,Agra - Breathable Nail Polish,https://786cosmetics.com/products/agra-breathable-nail-polish,https://786cosmetics.com/products/agra-breathable-nail-polish,prod::external_seed::external_seed::ext_151aebc5b6246b8d2d9a877b,ck_734aab4f4544edb40534872674180b43,,true,approved,true,false,brand,sig_f4c7019e2286dbb023363806,pl_1c1a44609e18c0275da965c9,rf_1c1a44609e18c0275da965c9,true,"""2026-05-26T00:46:07.721Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_151aebc5b6246b8d2d9a877b,true,false,not_expected_missing,,no_visible_variant_axis,,true,2,true,false,false,false,false,,false,,,,false,false,,index_doc_shadow_only,missing_public_catalog_serving_doc,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_ba9d87db33c29227071a7202,ext_8573685e1cc94840934c764d,external_seed:ext_8573685e1cc94840934c764d,US,786cosmetics.com,786 Cosmetics,Goychay - Breathable Nail Polish,https://786cosmetics.com/products/goychay-breathable-nail-polish,https://786cosmetics.com/products/goychay-breathable-nail-polish,prod::external_seed::external_seed::ext_8573685e1cc94840934c764d,ck_d1fd0fda02bdf0f83fa28b38ba8d1fde,,true,approved,true,false,brand,sig_8a7206c95b0440afe42d0de7,pl_b2bb131f7ea363c54b2aaf17,rf_b2bb131f7ea363c54b2aaf17,true,"""2026-05-26T00:46:07.721Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_8573685e1cc94840934c764d,true,false,not_expected_missing,,no_visible_variant_axis,,true,2,true,false,false,false,false,,false,,,,false,false,,index_doc_shadow_only,missing_public_catalog_serving_doc,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_c5c1d91929bc244958ce9fb9,ext_36b452da1e0dde5c19bd2ed0,external_seed:ext_36b452da1e0dde5c19bd2ed0,US,786cosmetics.com,786 Cosmetics,Casablanca - Breathable Nail Polish,https://786cosmetics.com/products/casablanca-breathable-nail-polish,https://786cosmetics.com/products/casablanca-breathable-nail-polish,prod::external_seed::external_seed::ext_36b452da1e0dde5c19bd2ed0,ck_20fc83f1c2b52303040519accb5cf34c,,true,approved,true,false,brand,sig_38239666ff461573fb2a2e97,pl_8e8461b0f4d2e782481fb366,rf_8e8461b0f4d2e782481fb366,true,"""2026-05-26T00:46:07.721Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_36b452da1e0dde5c19bd2ed0,true,false,not_expected_missing,,no_visible_variant_axis,,true,2,true,false,false,false,false,,false,,,,false,false,,index_doc_shadow_only,missing_public_catalog_serving_doc,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_6048ca743d2cf89043c4b8f2,ext_0d844fc65fd3348e35a09c80,external_seed:ext_0d844fc65fd3348e35a09c80,US,786cosmetics.com,786 Cosmetics,Abu Dhabi - Breathable Nail Polish,https://786cosmetics.com/products/abu-dhabi-breathable-nail-polish,https://786cosmetics.com/products/abu-dhabi-breathable-nail-polish,prod::external_seed::external_seed::ext_0d844fc65fd3348e35a09c80,ck_9265bf86ae4e6575e31a9e819211c3a1,,true,approved,true,false,brand,sig_8b6a01382b49a71e45aff8ac,pl_850beb368501e1bc02aa1cf9,rf_850beb368501e1bc02aa1cf9,true,"""2026-05-26T00:46:07.722Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_0d844fc65fd3348e35a09c80,true,false,not_expected_missing,,no_visible_variant_axis,,true,2,true,false,false,false,false,,false,,,,false,false,,index_doc_shadow_only,missing_public_catalog_serving_doc,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_7228bc7956277aee0ed2b5de,ext_41aeeb470016979417c8637d,external_seed:ext_41aeeb470016979417c8637d,US,786cosmetics.com,786 Cosmetics,Kabul - Breathable Nail Polish,https://786cosmetics.com/products/kabul-breathable-nail-polish,https://786cosmetics.com/products/kabul-breathable-nail-polish,prod::external_seed::external_seed::ext_41aeeb470016979417c8637d,ck_cb72a897ca2d3dd930e957deb54da47d,,true,approved,true,false,brand,sig_238477f3b4019ff763ef5d4e,pl_95eb80a40be2c6f38332ab85,rf_95eb80a40be2c6f38332ab85,true,"""2026-05-26T00:46:07.722Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_41aeeb470016979417c8637d,true,false,not_expected_missing,,no_visible_variant_axis,,true,2,true,false,false,false,false,,false,,,,false,false,,index_doc_shadow_only,missing_public_catalog_serving_doc,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_6f48694970df70f1649d4d26,ext_33fa1a749060cefdd3e0dc2b,external_seed:ext_33fa1a749060cefdd3e0dc2b,US,786cosmetics.com,786 Cosmetics,Beirut - Breathable Nail Polish,https://786cosmetics.com/products/beirut-breathable-nail-polish,https://786cosmetics.com/products/beirut-breathable-nail-polish,prod::external_seed::external_seed::ext_33fa1a749060cefdd3e0dc2b,ck_e0f3cb49b43490170aec7b69aed6a534,,true,approved,true,false,brand,sig_80adec5b3460ba6136c3ae68,pl_58dd347263aa3cfc1050641c,rf_58dd347263aa3cfc1050641c,true,"""2026-05-26T00:46:07.722Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_33fa1a749060cefdd3e0dc2b,true,false,not_expected_missing,,no_visible_variant_axis,,true,2,true,false,false,false,false,,false,,,,false,false,,index_doc_shadow_only,missing_public_catalog_serving_doc,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_3a7d482f6d21bc6949d24143,ext_2c4793f5f96ec2d4680fd55b,external_seed:ext_2c4793f5f96ec2d4680fd55b,US,786cosmetics.com,786 Cosmetics,Zhangye - Breathable Nail Polish,https://786cosmetics.com/products/zhangye-breathable-nail-polish,https://786cosmetics.com/products/zhangye-breathable-nail-polish,prod::external_seed::external_seed::ext_2c4793f5f96ec2d4680fd55b,ck_785e938aa5e2060d8e90a7300fef53db,,true,approved,true,false,brand,sig_c06807c3f62bf08c23e4ea93,pl_1ebc8d43c06b50578fed2321,rf_1ebc8d43c06b50578fed2321,true,"""2026-05-26T00:46:07.723Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_2c4793f5f96ec2d4680fd55b,true,false,not_expected_missing,,no_visible_variant_axis,,true,2,true,false,false,false,false,,false,,,,false,false,,index_doc_shadow_only,missing_public_catalog_serving_doc,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
