seed_id,external_product_id,source_listing_ref,market,domain,brand,title,canonical_url,destination_url,attached_product_key,content_key,seed_missing_fields,identity_exists,identity_status,identity_live_read_enabled,identity_review_required,identity_source_tier,sellable_item_group_id,product_line_id,review_family_id,kb_exists,kb_last_success_at,kb_last_error,kb_direct_status,kb_direct_displayable,kb_direct_high_quality_ready,kb_direct_human_reviewed,kb_direct_quality_state,kb_direct_evidence_profile,kb_direct_issues,kb_direct_blocking_issues,kb_effective_product_id,kb_effective_high_quality_ready,kb_borrowed_from_sibling,active_ingredients_status,active_ingredients_issues,variant_status,variant_issues,catalog_attached,catalog_offer_count,index_pipeline_state_exists,index_serving_eligible,db_serving_ready,external_index_published,commerce_doc_public,commerce_doc_id,commerce_doc_has_pivota_insight_summary,commerce_doc_pivota_insight_status,commerce_doc_price_min,commerce_doc_price_max,commerce_doc_external_offer_exists,terminal_hold,terminal_hold_reason,main_blocker,blocker_detail,recommended_lane,next_command
eps_23d25c06862cb6bc6e0546ea,ext_08a4a4bfddf769bc8b3d7944,external_seed:ext_08a4a4bfddf769bc8b3d7944,US,firstaidbeauty.com,First Aid Beauty,KP Smoothing + Brightening Body Lotion Fresh Peach,https://www.firstaidbeauty.com/products/kp-smoothing-brightening-body-lotion-with-aha-and-urea,https://www.firstaidbeauty.com/products/kp-smoothing-brightening-body-lotion-with-aha-and-urea,prod::external_seed::external_seed::ext_08a4a4bfddf769bc8b3d7944,ck_33ca8b14be0cac758b5a7325a3a86afc,,true,approved,true,false,brand,sig_6c861516fbf75bf9d82104f0,pl_89f7d3eecea04348f3444b61,rf_89f7d3eecea04348f3444b61,true,"""2026-04-11T23:52:08.420Z""",,not_displayable,false,false,false,limited,seller_only,not_reviewed|not_displayable_gate|quality_limited|seller_only_evidence,not_reviewed|not_displayable_gate,ext_08a4a4bfddf769bc8b3d7944,false,false,ready_hero,,ready,,true,2,true,true,false,false,true,sellable:sig_6c861516fbf75bf9d82104f0,false,missing,36,36,true,false,,kb_blocked,blocking_issues:not_reviewed|not_displayable_gate,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_08a4a4bfddf769bc8b3d7944 --limit 1 --skip-gemini
eps_3866693f350cfe49d649c264,ext_0ace092e3cb5d4cc0e714a7b,external_seed:ext_0ace092e3cb5d4cc0e714a7b,US,firstaidbeauty.com,First Aid Beauty,Bronze + Glow Drops with Niacinamide,https://www.firstaidbeauty.com/products/bronze-glow-drops-with-niacinamide,https://www.firstaidbeauty.com/products/bronze-glow-drops-with-niacinamide,prod::external_seed::external_seed::ext_0ace092e3cb5d4cc0e714a7b,ck_9918afe959f9cc7f014b524c5f074790,,true,approved,true,false,brand,sig_31c6611dea85ff019b482d3c,pl_a80d6da04342241e73cbf239,rf_a80d6da04342241e73cbf239,true,"""2026-04-11T23:52:08.420Z""",,not_displayable,false,false,false,limited,seller_only,not_reviewed|not_displayable_gate|quality_limited|seller_only_evidence,not_reviewed|not_displayable_gate,ext_0ace092e3cb5d4cc0e714a7b,false,false,ready_hero,,ready,,true,2,true,true,false,false,true,sellable:sig_31c6611dea85ff019b482d3c,false,missing,28,28,true,false,,kb_blocked,blocking_issues:not_reviewed|not_displayable_gate,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_0ace092e3cb5d4cc0e714a7b --limit 1 --skip-gemini
eps_7bca88e949298a2b805f5215,ext_11963457ee34178a22a33486,external_seed:ext_11963457ee34178a22a33486,US,firstaidbeauty.com,First Aid Beauty,Ultra Gentle Cream-to-Foam Face Cleanser with Colloidal Oatmeal + Glycerin,https://www.firstaidbeauty.com/products/face-cleanser,https://www.firstaidbeauty.com/products/face-cleanser,prod::external_seed::external_seed::ext_11963457ee34178a22a33486,ck_178374b4262b83a0e4a71e9751e1101d,,true,approved,true,false,brand,sig_d4f08b3f258bc12e003165d2,pl_653bc33691e1c6fe5b4b2a80,rf_653bc33691e1c6fe5b4b2a80,true,"""2026-04-12T01:31:32.493Z""",,not_displayable,false,false,false,limited,seller_only,not_reviewed|not_displayable_gate|empty_watchouts|quality_limited|seller_only_evidence,not_reviewed|not_displayable_gate,ext_11963457ee34178a22a33486,false,false,low_signal_active,low_signal_active,ready,,true,1,true,true,false,false,true,sellable:sig_d4f08b3f258bc12e003165d2,false,missing,27,27,true,false,,kb_blocked,blocking_issues:not_reviewed|not_displayable_gate,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_11963457ee34178a22a33486 --limit 1 --skip-gemini
eps_14b190359a9b613b5371a297,ext_1828b66659da703fa19235fb,external_seed:ext_1828b66659da703fa19235fb,US,firstaidbeauty.com,First Aid Beauty,Ultra Repair Hydrating Pillow Pads with Colloidal Oatmeal + Ceramides,https://www.firstaidbeauty.com/products/ultra-repair-hydrating-pillow-pads-with-colloidal-oatmeal-and-ceramides,https://www.firstaidbeauty.com/products/ultra-repair-hydrating-pillow-pads-with-colloidal-oatmeal-and-ceramides,prod::external_seed::external_seed::ext_1828b66659da703fa19235fb,ck_05fe47529a1ee306a400d4beb8980a3f,,true,review_required,false,true,brand,sig_b6c30961b4ca1410be7f3672,pl_89357c73f33fcfa5da41ba94,rf_89357c73f33fcfa5da41ba94,true,"""2026-04-11T23:52:08.420Z""",,not_displayable,false,false,false,limited,seller_only,not_reviewed|not_displayable_gate|empty_watchouts|quality_limited|seller_only_evidence,not_reviewed|not_displayable_gate,ext_1828b66659da703fa19235fb,false,false,ready_hero,,ready,,true,1,true,true,false,false,false,,false,,,,false,false,,identity_blocked,not_live_read_enabled|identity_status_review_required|review_required,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_a044bdb2e50ac82eb1491104,ext_1b35e9b9464058f6b641c8e3,external_seed:ext_1b35e9b9464058f6b641c8e3,US,firstaidbeauty.com,First Aid Beauty,Brighten + Glow Facial Radiance Pads with Glycolic + Lactic Acids 90 Count,https://www.firstaidbeauty.com/products/facial-radiance-pads-with-glycolic-lactic-acids-90-day,https://www.firstaidbeauty.com/products/facial-radiance-pads-with-glycolic-lactic-acids-90-day,prod::external_seed::external_seed::ext_1b35e9b9464058f6b641c8e3,ck_98644c5ab6d7d7bd692d0dcf29fa56ba,,true,approved,true,false,brand,sig_d76694f078649c0b53798dcb,pl_9730317f63d1c91984db3d09,rf_9730317f63d1c91984db3d09,true,"""2026-04-11T23:52:08.420Z""",,not_displayable,false,false,false,limited,seller_only,not_reviewed|not_displayable_gate|quality_limited|seller_only_evidence,not_reviewed|not_displayable_gate,ext_1b35e9b9464058f6b641c8e3,false,false,ready_hero,,ready,,true,2,true,true,false,false,true,sellable:sig_d76694f078649c0b53798dcb,false,missing,56,56,true,false,,kb_blocked,blocking_issues:not_reviewed|not_displayable_gate,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_1b35e9b9464058f6b641c8e3 --limit 1 --skip-gemini
eps_357e1d5631c26be320162e4a,ext_1ccec8358c11ec3397c03abf,external_seed:ext_1ccec8358c11ec3397c03abf,US,firstaidbeauty.com,First Aid Beauty,Ingrown Hair Pads with BHA + AHA Travel Size,https://www.firstaidbeauty.com/products/ingrown-hair-pads-with-bha-aha-travel-size,https://www.firstaidbeauty.com/products/ingrown-hair-pads-with-bha-aha-travel-size,prod::external_seed::external_seed::ext_1ccec8358c11ec3397c03abf,ck_70ecfeadece25a5a00ab04c7bcd30399,,true,approved,true,false,brand,sig_ae0bfd46e02b75c94dfae8da,pl_9054f61128d0fc212e427277,rf_9054f61128d0fc212e427277,true,"""2026-05-22T03:57:22.611Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_1ccec8358c11ec3397c03abf,true,false,low_signal_active,low_signal_active,ready,,true,2,true,true,true,false,true,sellable:sig_ae0bfd46e02b75c94dfae8da,true,available,20,20,true,false,,db_serving_ready,,ready_no_action,
eps_c8ee6de59e29db43a5bdf47c,ext_1d9e01e4c3a8800a0c22b175,external_seed:ext_1d9e01e4c3a8800a0c22b175,US,firstaidbeauty.com,First Aid Beauty,Daily Resurfacing Lotion with 2% Niacinamide,https://www.firstaidbeauty.com/products/resurfacing-moisturizer-acne,https://www.firstaidbeauty.com/products/resurfacing-moisturizer-acne,prod::external_seed::external_seed::ext_1d9e01e4c3a8800a0c22b175,ck_2d239d26a785e03be0fa79f260f20f13,,true,approved,true,false,brand,sig_3420cc9a872ea018e01f3917,pl_df494c0b9dceb0c9cec233bd,rf_df494c0b9dceb0c9cec233bd,true,"""2026-04-12T01:31:32.493Z""",,not_displayable,false,false,false,limited,seller_only,not_reviewed|not_displayable_gate|public_generic_marketing_copy|quality_limited|seller_only_evidence,not_reviewed|not_displayable_gate|public_generic_marketing_copy,ext_1d9e01e4c3a8800a0c22b175,false,false,ready_hero,,ready,,true,1,true,true,false,false,true,sellable:sig_3420cc9a872ea018e01f3917,false,missing,30,30,true,false,,kb_blocked,blocking_issues:not_reviewed|not_displayable_gate|public_generic_marketing_copy,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_1d9e01e4c3a8800a0c22b175 --limit 1 --skip-gemini
eps_bf6cdc9ff73abfdd49e29e8b,ext_27541ddaefa99c1185fd9677,external_seed:ext_27541ddaefa99c1185fd9677,US,firstaidbeauty.com,First Aid Beauty,After-Shower Nourishing Body Oil,https://www.firstaidbeauty.com/products/after-shower-nourishing-body-oil,https://www.firstaidbeauty.com/products/after-shower-nourishing-body-oil,prod::external_seed::external_seed::ext_27541ddaefa99c1185fd9677,ck_bc83303cf8461cadddd9a75be56bf97a,,true,approved,true,false,brand,sig_40b2ae3fe9fb71bf7ee5a9f15104954d,pl_7223347e882740c6b88aca4e,rf_7223347e882740c6b88aca4e,true,"""2026-04-20T00:19:16.060Z""",,displayable,true,false,true,eligible,seller_plus_formula,missing_card_highlight|quality_eligible,missing_card_highlight,ext_27541ddaefa99c1185fd9677,false,false,not_expected_missing,,ready,,true,2,true,true,false,false,true,sellable:sig_40b2ae3fe9fb71bf7ee5a9f15104954d,false,missing,36,36,true,false,,kb_blocked,blocking_issues:missing_card_highlight,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_27541ddaefa99c1185fd9677 --limit 1 --skip-gemini
eps_a1a4f66927c3b88b520ae1c3,ext_3a8ab0e88713143fd1df39ed,external_seed:ext_3a8ab0e88713143fd1df39ed,US,firstaidbeauty.com,First Aid Beauty,KP Bump Eraser Body Scrub 10% AHA Fresh Peach,https://www.firstaidbeauty.com/products/kp-bump-eraser-body-scrub-10-aha-fresh-peach,https://www.firstaidbeauty.com/products/kp-bump-eraser-body-scrub-10-aha-fresh-peach,prod::external_seed::external_seed::ext_3a8ab0e88713143fd1df39ed,ck_4c897f6a409f7d47ed09e6f3714883ca,,true,approved,true,false,brand,sig_01f4484aaf4f2117ecee6852,pl_624bbcc2dc9dff4c115b496a,rf_624bbcc2dc9dff4c115b496a,true,"""2026-04-20T00:19:16.060Z""",,displayable,true,false,true,eligible,seller_plus_formula,missing_card_highlight|quality_eligible,missing_card_highlight,ext_3a8ab0e88713143fd1df39ed,false,false,low_signal_active,low_signal_active,ready,,true,1,true,true,false,false,true,sellable:sig_01f4484aaf4f2117ecee6852,false,missing,30,30,true,false,,kb_blocked,blocking_issues:missing_card_highlight,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_3a8ab0e88713143fd1df39ed --limit 1 --skip-gemini
eps_9e6b2d088eb8d71e4240af4c,ext_3c794804d01f461caa12a3a3,external_seed:ext_3c794804d01f461caa12a3a3,US,firstaidbeauty.com,First Aid Beauty,"Ultra Repair Retinol Eye Cream with Retinol, Squalane + Ceramides",https://www.firstaidbeauty.com/products/retinol-eye-cream-with-squalane-ceramides,https://www.firstaidbeauty.com/products/retinol-eye-cream-with-squalane-ceramides,prod::external_seed::external_seed::ext_3c794804d01f461caa12a3a3,ck_5858458585e77248aa4f06ae2ae0e941,,true,approved,true,false,brand,sig_694a354ae83cb101ddfd0693,pl_8b88c26fa9350f45dfa05761,rf_8b88c26fa9350f45dfa05761,true,"""2026-04-11T23:52:08.420Z""",,not_displayable,false,false,false,limited,seller_only,not_reviewed|not_displayable_gate|quality_limited|seller_only_evidence,not_reviewed|not_displayable_gate,ext_3c794804d01f461caa12a3a3,false,false,ready_hero,,ready,,true,1,true,true,false,false,true,sellable:sig_694a354ae83cb101ddfd0693,false,missing,45,45,true,false,,kb_blocked,blocking_issues:not_reviewed|not_displayable_gate,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_3c794804d01f461caa12a3a3 --limit 1 --skip-gemini
eps_e9f9c6161a2be1f06ab32dc0,ext_509af4ff581a6ee8211c5b18,external_seed:ext_509af4ff581a6ee8211c5b18,US,firstaidbeauty.com,First Aid Beauty,Ultra Repair Rescue Barrier Balm with Dimethicone,https://www.firstaidbeauty.com/products/ultra-repair-rescue-barrier-balm-with-dimethicone,https://www.firstaidbeauty.com/products/ultra-repair-rescue-barrier-balm-with-dimethicone,prod::external_seed::external_seed::ext_509af4ff581a6ee8211c5b18,ck_3f73be7aad1ea0c50cfde976de310da0,,true,approved,true,false,brand,sig_f93d4e4f096acac1d386dc49,pl_c2e51d8059b23b77ba00ff89,rf_c2e51d8059b23b77ba00ff89,true,"""2026-04-10T08:34:50.050Z""",,not_displayable,false,false,false,limited,seller_only,not_reviewed|not_displayable_gate|missing_card_highlight|quality_limited|seller_only_evidence,not_reviewed|not_displayable_gate|missing_card_highlight,ext_509af4ff581a6ee8211c5b18,false,false,ready_other,,ready,,true,1,true,true,false,false,true,sellable:sig_f93d4e4f096acac1d386dc49,false,missing,36,36,true,false,,kb_blocked,blocking_issues:not_reviewed|not_displayable_gate|missing_card_highlight,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_509af4ff581a6ee8211c5b18 --limit 1 --skip-gemini
eps_ee9062b2a08c44a135cf2026,ext_5a941eb383f5c65705b4b130,external_seed:ext_5a941eb383f5c65705b4b130,US,firstaidbeauty.com,First Aid Beauty,KP Bump Eraser Body Scrub 10% AHA Travel Size,https://www.firstaidbeauty.com/products/kp-bump-eraser-body-scrub-aha-travel-size,https://www.firstaidbeauty.com/products/kp-bump-eraser-body-scrub-aha-travel-size,prod::external_seed::external_seed::ext_5a941eb383f5c65705b4b130,ck_8ed4070e369200c5bca06cbc699f157f,,true,approved,true,false,brand,sig_9424af22dd39287cdad0bd06,pl_de88505b20faece70354b28f,rf_de88505b20faece70354b28f,true,"""2026-04-20T00:19:16.060Z""",,displayable,true,false,true,eligible,seller_plus_formula,missing_card_highlight|quality_eligible,missing_card_highlight,ext_5a941eb383f5c65705b4b130,false,false,low_signal_active,low_signal_active,ready,,true,1,true,true,false,false,true,sellable:sig_9424af22dd39287cdad0bd06,false,missing,12,12,true,false,,kb_blocked,blocking_issues:missing_card_highlight,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_5a941eb383f5c65705b4b130 --limit 1 --skip-gemini
eps_650e43f50a73cf3c2dd8085e,ext_62685854dfc71d2634e828e6,external_seed:ext_62685854dfc71d2634e828e6,US,firstaidbeauty.com,First Aid Beauty,"Ultra Repair Firming Day Cream with Peptides, Niacinamide + Collagen",https://www.firstaidbeauty.com/products/firming-cream-with-peptides-niacinamide-and-collagen,https://www.firstaidbeauty.com/products/firming-cream-with-peptides-niacinamide-and-collagen,prod::external_seed::external_seed::ext_62685854dfc71d2634e828e6,ck_896cfa43ce9cc0352e1d062f69c6bf93,,true,approved,true,false,brand,sig_7a314bf1e42826e61bc742cc,pl_fca82a88291571974eb4c24a,rf_fca82a88291571974eb4c24a,true,"""2026-04-11T23:52:08.420Z""",,not_displayable,false,false,false,limited,seller_only,not_reviewed|not_displayable_gate|empty_watchouts|quality_limited|seller_only_evidence,not_reviewed|not_displayable_gate,ext_62685854dfc71d2634e828e6,false,false,ready_hero,,ready,,true,1,true,true,false,false,true,sellable:sig_7a314bf1e42826e61bc742cc,false,missing,49,49,true,false,,kb_blocked,blocking_issues:not_reviewed|not_displayable_gate,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_62685854dfc71d2634e828e6 --limit 1 --skip-gemini
eps_37f2ec82576b82cf293aa7fb,ext_67275a9b74b688eca7eefe38,external_seed:ext_67275a9b74b688eca7eefe38,US,firstaidbeauty.com,First Aid Beauty,KP Bump Eraser Body Scrub 10% AHA Toasted Coconut,https://www.firstaidbeauty.com/products/kp-bump-eraser-body-scrub-with-10-aha-toasted-coconut,https://www.firstaidbeauty.com/products/kp-bump-eraser-body-scrub-with-10-aha-toasted-coconut,prod::external_seed::external_seed::ext_67275a9b74b688eca7eefe38,ck_5544d88cde25be7fcc9aeb7469b42325,,true,approved,true,false,brand,sig_5b115b1e437cf11bdd013bc6,pl_9ac985dec1f894211ce8aaa6,rf_9ac985dec1f894211ce8aaa6,true,"""2026-04-11T23:52:08.420Z""",,not_displayable,false,false,false,limited,seller_only,not_reviewed|not_displayable_gate|quality_limited|seller_only_evidence,not_reviewed|not_displayable_gate,ext_67275a9b74b688eca7eefe38,false,false,low_signal_active,low_signal_active,ready,,true,1,true,true,false,false,true,sellable:sig_5b115b1e437cf11bdd013bc6,false,missing,30,30,true,false,,kb_blocked,blocking_issues:not_reviewed|not_displayable_gate,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_67275a9b74b688eca7eefe38 --limit 1 --skip-gemini
eps_f8cd595de02f4529b1e56038,ext_684ef08faa23d138a2222481,external_seed:ext_684ef08faa23d138a2222481,US,firstaidbeauty.com,First Aid Beauty,KP Bump Eraser Body Scrub 10% AHA Fresh Strawberry,https://www.firstaidbeauty.com/products/kp-bump-eraser-body-scrub-aha-fresh-strawberry,https://www.firstaidbeauty.com/products/kp-bump-eraser-body-scrub-aha-fresh-strawberry,prod::external_seed::external_seed::ext_684ef08faa23d138a2222481,ck_ed41d4dc7031d1ba56e6e8d5576524a4,,true,approved,true,false,brand,sig_639c0acb5f107e6fce18d23b,pl_87bc1bb3b132f22c81297bd0,rf_87bc1bb3b132f22c81297bd0,true,"""2026-04-20T00:19:16.060Z""",,displayable,true,false,true,eligible,seller_plus_formula,missing_card_highlight|quality_eligible,missing_card_highlight,ext_684ef08faa23d138a2222481,false,false,ready_hero,active_raw_may_be_full_inci,ready,,true,3,true,true,false,false,true,sellable:sig_639c0acb5f107e6fce18d23b,false,missing,30,30,true,false,,kb_blocked,blocking_issues:missing_card_highlight,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_684ef08faa23d138a2222481 --limit 1 --skip-gemini
eps_e269070f4fa2705c3e22cd02,ext_6c2feb5d6e43c9362d6a2254,external_seed:ext_6c2feb5d6e43c9362d6a2254,US,firstaidbeauty.com,First Aid Beauty,Whole Body Deodorant Cream,https://www.firstaidbeauty.com/products/whole-body-deodorant-cream,https://www.firstaidbeauty.com/products/whole-body-deodorant-cream,prod::external_seed::external_seed::ext_6c2feb5d6e43c9362d6a2254,ck_269e877c4ab6a8b14144b860b6960114,,true,approved,true,false,brand,sig_279362093239bdacf0de0329,pl_df788f481ba3164dc00b2d6f,rf_df788f481ba3164dc00b2d6f,true,"""2026-04-20T00:19:16.060Z""",,displayable,true,false,true,eligible,seller_plus_formula,missing_card_highlight|quality_eligible,missing_card_highlight,ext_6c2feb5d6e43c9362d6a2254,false,false,ready_other,,ready,,true,1,true,true,false,false,true,sellable:sig_279362093239bdacf0de0329,false,missing,20,20,true,false,,kb_blocked,blocking_issues:missing_card_highlight,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_6c2feb5d6e43c9362d6a2254 --limit 1 --skip-gemini
eps_656a11364fe7fd6b62dccb1c,ext_77c5474a61c7c179242465d2,external_seed:ext_77c5474a61c7c179242465d2,US,firstaidbeauty.com,First Aid Beauty,Brighten + Glow Eye Cream with Niacinamide,https://www.firstaidbeauty.com/products/brighten-glow-eye-cream-with-niacinamide,https://www.firstaidbeauty.com/products/brighten-glow-eye-cream-with-niacinamide,prod::external_seed::external_seed::ext_77c5474a61c7c179242465d2,ck_54f2281e823345de1fbd1c77548bf3b9,,true,approved,true,false,brand,sig_a682d7bcd5569b429f9d29c2741f4c3d,pl_393503aed1b3b30cc3077daa,rf_393503aed1b3b30cc3077daa,true,"""2026-04-11T23:52:08.420Z""",,not_displayable,false,false,false,limited,seller_only,not_reviewed|not_displayable_gate|empty_watchouts|quality_limited|seller_only_evidence,not_reviewed|not_displayable_gate,ext_77c5474a61c7c179242465d2,false,false,ready_hero,,ready,,true,1,true,true,false,false,true,sellable:sig_a682d7bcd5569b429f9d29c2741f4c3d,false,missing,36,36,true,false,,kb_blocked,blocking_issues:not_reviewed|not_displayable_gate,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_77c5474a61c7c179242465d2 --limit 1 --skip-gemini
eps_851c347b8f4b18f1555b16b7,ext_7c0d0d81dcfbc946791b6280,external_seed:ext_7c0d0d81dcfbc946791b6280,US,firstaidbeauty.com,First Aid Beauty,Acne Clearing Pads with 2% Salicylic Acid,https://www.firstaidbeauty.com/products/acne-clearing-pads,https://www.firstaidbeauty.com/products/acne-clearing-pads,prod::external_seed::external_seed::ext_7c0d0d81dcfbc946791b6280,ck_203f76a0621c7e96a50b77b8192cb2ca,,true,approved,true,false,brand,sig_35dcece492d5902364725c7bb6d4fbfd,pl_0a25e75ba595dd8a56ab62dc,rf_0a25e75ba595dd8a56ab62dc,true,"""2026-04-11T23:52:08.420Z""",,not_displayable,false,false,false,limited,seller_only,not_reviewed|not_displayable_gate|quality_limited|seller_only_evidence,not_reviewed|not_displayable_gate,ext_7c0d0d81dcfbc946791b6280,false,false,ready_regulatory,,ready,,true,1,true,true,false,false,true,sellable:sig_35dcece492d5902364725c7bb6d4fbfd,false,missing,39,39,true,false,,kb_blocked,blocking_issues:not_reviewed|not_displayable_gate,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_7c0d0d81dcfbc946791b6280 --limit 1 --skip-gemini
eps_d5b92da9dd20604d3c361503,ext_7c4b0a2885131b08d1cda84a,external_seed:ext_7c4b0a2885131b08d1cda84a,US,firstaidbeauty.com,First Aid Beauty,Dark Spot Serum with Niacinamide,https://www.firstaidbeauty.com/products/dark-spot-serum-with-niacinamide,https://www.firstaidbeauty.com/products/dark-spot-serum-with-niacinamide,prod::external_seed::external_seed::ext_7c4b0a2885131b08d1cda84a,ck_9e48ba1f05b91fff1b0dbd8bba0f767d,,true,approved,true,false,brand,sig_17be71a5c6eab6de4b2f30f4,pl_fe6d32d65977cb77f76df0fc,rf_fe6d32d65977cb77f76df0fc,true,"""2026-04-15T14:49:47.473Z""",,displayable,true,true,true,eligible,seller_plus_formula,quality_eligible,,ext_7c4b0a2885131b08d1cda84a,true,false,ready_hero,,ready,,true,1,true,true,true,false,true,sellable:sig_17be71a5c6eab6de4b2f30f4,true,available,42,42,true,false,,db_serving_ready,,ready_no_action,
